otu.id,R_M2,R_P2,R_A2,R_M3,R_P3,R_A3,R_M4,R_P4,R_A4,R_M1,R_P1,R_A1
AOtu0001,22157,74014,58909,69226,94763,18343,85632,56016,24442,137256,93489,71689
FOtu0002,12748,16390,16776,26609,68145,24114,34159,29602,16103,3681,13388,15505
BOtu0003,47116,20076,27299,23924,47762,8861,7498,13991,3523,32318,28935,14910
BOtu0002,9102,25333,32535,17747,39449,7005,30068,27617,13242,30857,16889,6808
BOtu0001,29794,12637,8620,15142,17923,9034,16638,18074,11386,6433,19759,6614
BOtu0004,12321,7924,9781,11737,8746,3937,8940,14048,3140,18959,11054,3792
FOtu0006,46692,2389,2309,55,22,4,119,185,107,7216,13319,19311
FOtu0007,7932,8214,7968,3900,7934,4358,8665,8077,5204,9450,5302,7511
FOtu0010,1741,4686,18898,2075,443,424,7253,13512,8574,1733,368,236
BOtu0009,9593,8569,7488,2085,1414,2896,7299,5572,3286,2292,4034,2401
BOtu0007,3643,4279,4057,4797,7028,5088,1489,5124,1519,9852,5148,1279
BOtu0013,5348,7444,10547,1051,1061,1058,5499,7082,986,5224,3813,1042
BOtu0005,3754,1572,10283,4759,4322,2123,1533,5964,3735,5053,2242,1276
BOtu0008,5386,2722,3163,6552,4429,1122,2198,4141,1838,5291,3084,1644
FOtu0012,269,2554,3050,9577,8057,6240,779,1314,1238,7264,0,39
AOtu0005,7418,1454,1077,31,562,822,3,2228,448,9,12974,11722
BOtu0011,3792,1817,7953,3444,2581,431,627,2159,1314,5024,2761,908
FOtu0009,9710,162,26,647,238,77,10448,1472,507,177,6607,2648
BOtu0012,3673,1034,1308,2650,1218,2574,270,1503,849,4624,10606,1726
FOtu0008,10837,1419,2494,139,86,88,193,103,169,2218,7122,3526
BOtu0021,6324,175,2,485,1,0,117,0,52,6,10691,9125
BOtu0019,320,1478,4300,2938,1608,1285,1235,7294,1008,4326,276,323
BOtu0016,351,568,293,1664,1321,1032,9500,7493,1987,1010,74,70
FOtu0018,11724,0,1,3,3,1,17,7,4,1,8483,4566
AOtu0009,932,14,69,0,2068,9879,64,4292,4574,5,4,1
FOtu0023,0,2,0,0,0,1,8,51,0,21663,0,0
AOtu0006,5755,2212,3927,674,476,713,254,2431,298,184,1340,2927
FOtu0017,3438,3730,1339,785,1606,924,1135,867,955,830,1945,618
BOtu0014,1386,277,707,437,700,583,2072,538,790,229,737,6322
BOtu0015,1013,247,423,330,506,373,1963,389,1196,119,546,5844
FOtu0030,1928,1072,599,377,794,867,1201,645,936,868,1525,669
FOtu0032,624,2545,2160,200,635,174,710,166,451,2561,497,597
FOtu0033,1118,2019,1124,235,490,298,2069,594,620,1167,768,92
BOtu0020,1888,243,597,921,1570,1507,6,0,0,704,1602,1273
FOtu0037,1955,1096,1192,191,681,628,467,1168,871,890,558,237
FOtu0040,53,0,3,0,23,93,5,9076,506,20,15,64
FOtu0045,2900,879,552,185,459,200,276,208,160,807,760,225
FOtu0016,16,4288,1266,5,4,6,74,263,157,704,5,5
FOtu0005,149,173,301,90,314,299,1202,2488,1411,233,61,39
FOtu0049,720,738,450,378,868,292,228,290,424,428,351,354
BOtu0031,406,1027,423,47,460,86,1087,595,727,339,195,86
FOtu0054,93,1432,235,79,15,26,1336,1220,142,625,103,10
FOtu0058,1,1,61,113,4655,122,8,0,0,1,26,0
FOtu0052,517,680,831,853,242,187,275,190,108,629,238,221
FOtu0003,71,238,960,18,749,45,1169,471,247,980,2,1
FOtu0056,736,548,488,233,395,385,187,337,334,798,266,194
FOtu0059,2,89,2860,2,854,117,5,4,60,854,9,37
FOtu0038,549,166,292,338,493,266,912,420,196,185,745,221
FOtu0057,375,533,716,188,213,230,200,280,170,745,677,419
FOtu0060,575,0,84,1,34,486,4,1,7,1,2158,920
BOtu0023,575,8,226,51,15,34,20,204,576,13,1987,444
BOtu0026,307,63,156,102,166,132,635,149,271,55,165,1907
FOtu0020,49,33,134,16,2784,275,37,445,241,27,23,21
FOtu0061,949,464,249,342,153,201,286,260,162,226,399,189
BOtu0040,754,176,76,75,12,67,71,27,1429,5,447,603
BOtu0028,326,48,162,104,178,119,494,82,239,48,165,1760
FOtu0062,1896,623,195,5,3,6,19,67,37,31,446,210
BOtu0044,78,530,914,4,28,98,724,347,418,52,62,0
AOtu0025,1881,0,0,2,1,10,1,0,0,0,94,1147
BOtu0045,34,631,100,0,41,167,12,1657,225,196,10,0
FOtu0065,337,212,105,275,453,471,208,222,245,133,203,155
BOtu0032,261,46,85,78,133,80,463,139,254,31,83,1180
FOtu0067,685,147,108,232,64,158,83,238,152,266,208,484
FOtu0069,293,482,394,39,153,98,91,112,138,285,254,124
FOtu0071,224,612,341,43,194,28,73,262,28,377,142,126
FOtu0073,39,555,1191,23,23,5,12,31,30,363,44,70
FOtu0070,27,5,20,151,479,872,225,281,279,46,0,0
FOtu0075,2074,0,0,2,0,0,0,0,0,0,61,190
BOtu0046,149,1750,119,24,36,5,71,48,34,8,12,56
FOtu0076,0,2295,0,0,0,0,6,0,0,0,0,0
AOtu0026,29,157,396,38,0,5,12,7,15,1474,34,93
FOtu0077,24,1326,333,16,9,30,58,28,24,248,48,39
FOtu0074,0,2,2,154,1989,16,8,0,0,5,0,0
BOtu0049,1080,157,260,45,28,16,263,83,15,35,65,22
FOtu0087,153,737,352,21,54,27,124,150,116,216,15,9
BOtu0048,6,614,165,555,125,49,68,215,33,83,0,0
AOtu0020,345,441,1030,11,5,0,3,8,2,8,1,33
BOtu0025,6,551,128,6,2,1,437,3,0,479,265,0
FOtu0089,607,142,336,25,71,54,58,83,154,183,79,37
FOtu0088,122,377,426,16,10,39,71,51,9,541,98,36
FOtu0084,2,16,69,244,707,331,59,248,64,14,0,2
FOtu0092,38,89,365,72,15,21,266,473,308,45,8,8
BOtu0037,3,0,0,1,1,0,3,0,4,736,550,405
FOtu0091,148,364,24,17,188,239,100,161,97,74,170,59
FOtu0095,978,79,36,14,27,11,35,44,5,28,332,50
FOtu0097,287,39,32,31,96,341,219,115,162,31,53,164
FOtu0098,1214,7,7,0,0,1,17,2,45,1,158,114
FOtu0100,0,8,54,108,325,163,311,407,76,9,1,5
BOtu0038,108,45,86,25,52,27,210,39,125,15,51,652
FOtu0101,49,147,122,63,226,150,148,93,118,73,120,70
AOtu0039,0,410,795,0,4,61,0,0,0,78,0,0
FOtu0104,356,0,0,3,1,0,1,1,6,0,554,405
BOtu0052,12,843,189,15,27,34,31,45,70,27,23,0
FOtu0103,0,67,874,0,38,5,182,28,0,119,0,0
FOtu0102,24,196,157,23,166,78,172,252,108,42,29,6
FOtu0110,417,1,218,2,0,0,1,0,0,0,267,327
FOtu0111,565,154,91,37,14,6,33,15,12,140,69,49
FOtu0114,349,199,125,7,37,40,36,29,27,59,222,14
FOtu0115,214,100,207,32,75,65,111,42,33,119,81,64
FOtu0066,66,95,63,10,67,16,159,15,20,78,282,191
FOtu0120,597,46,169,21,0,62,28,11,3,14,32,75
FOtu0117,156,119,237,8,75,65,15,82,14,143,104,27
FOtu0079,76,15,74,26,224,173,30,36,251,54,49,13
FOtu0124,0,425,337,0,0,0,1,0,0,257,0,0
AOtu0015,0,55,278,0,0,0,0,0,0,661,0,0
BOtu0033,63,17,46,49,291,176,23,4,91,148,69,3
FOtu0126,74,221,33,45,20,44,130,238,63,38,31,37
AOtu0043,0,304,110,0,13,25,10,431,15,26,0,0
FOtu0128,0,0,12,14,33,827,0,0,23,14,8,0
AOtu0045,130,0,0,1,0,0,1,0,0,0,128,667
FOtu0118,9,14,0,27,402,74,87,116,86,0,38,14
BOtu0065,0,466,268,0,0,7,35,34,13,42,2,0
BOtu0030,63,16,112,39,89,23,4,50,30,272,150,18
FOtu0072,37,331,312,3,8,1,31,0,2,21,97,19
FOtu0129,92,94,134,48,87,62,41,47,36,33,106,67
FOtu0130,57,34,233,90,13,29,84,0,59,31,96,106
AOtu0047,19,15,45,14,26,61,19,162,0,0,64,392
FOtu0131,0,149,568,0,7,5,9,0,1,61,0,0
AOtu0049,2,0,773,0,0,0,0,0,0,0,0,1
BOtu0064,0,34,16,153,227,14,50,0,8,234,23,0
BOtu0068,23,76,37,12,32,8,94,152,40,273,4,1
FOtu0139,4,65,71,15,13,8,72,194,121,182,0,0
BOtu0062,20,7,14,2,7,3,14,0,59,5,612,0
FOtu0142,4,0,25,30,2,96,87,159,1,86,3,233
FOtu0143,83,35,101,43,43,82,87,44,49,16,61,70
FOtu0106,18,0,0,91,87,212,116,57,95,1,10,10
FOtu0146,111,148,155,28,0,0,5,0,2,92,22,120
FOtu0147,10,345,104,48,1,13,13,31,5,54,28,29
FOtu0134,41,125,199,78,6,15,42,9,4,102,41,16
FOtu0152,121,1,54,2,0,1,0,41,0,0,144,291
FOtu0153,12,499,41,1,10,12,25,0,13,11,30,1
BOtu0060,32,45,17,10,35,5,4,32,4,448,11,3
BOtu0079,0,467,35,3,5,0,29,8,78,7,0,0
BOtu0082,2,600,6,0,0,0,3,2,16,0,0,0
FOtu0149,0,619,1,2,0,0,0,1,1,3,0,0
FOtu0161,16,179,265,0,1,3,2,12,0,145,0,0
FOtu0162,176,3,0,7,121,14,15,83,11,46,78,55
FOtu0116,9,91,186,8,17,9,36,35,0,129,60,7
FOtu0167,1,2,144,136,110,7,5,8,32,0,138,0
FOtu0164,177,14,58,29,5,71,70,51,19,4,38,42
FOtu0163,17,117,136,24,16,22,41,26,25,86,34,27
AOtu0028,0,5,8,87,7,4,30,33,0,388,2,0
AOtu0057,23,91,300,0,0,0,1,1,7,17,121,2
FOtu0173,220,2,1,3,106,37,7,28,8,5,63,66
FOtu0168,0,0,0,0,0,0,1,0,525,2,6,0
BOtu0085,6,221,43,91,1,5,82,42,34,5,3,0
FOtu0169,101,49,93,6,40,44,22,15,92,30,23,14
FOtu0171,18,145,53,22,20,32,15,27,21,90,52,17
FOtu0132,21,3,173,7,51,39,49,45,4,73,28,18
FOtu0176,113,81,56,20,23,2,37,8,7,90,69,2
FOtu0175,40,14,324,0,24,0,20,60,4,5,4,0
BOtu0088,187,103,117,0,0,11,28,10,34,4,0,0
FOtu0181,29,0,152,59,0,77,10,20,3,0,3,141
AOtu0059,59,0,0,0,0,0,42,120,0,0,51,209
FOtu0015,6,0,0,123,11,149,0,7,2,1,2,166
FOtu0189,0,138,53,0,0,9,217,18,5,6,8,8
BOtu0059,0,85,103,164,13,7,0,6,73,10,0,0
FOtu0190,140,37,9,18,70,22,30,46,20,13,25,28
FOtu0192,6,66,19,5,0,3,34,137,17,30,127,2
FOtu0187,26,44,41,6,52,105,52,27,78,8,6,0
FOtu0093,43,16,25,0,2,0,89,2,1,26,184,53
BOtu0100,22,155,126,1,2,41,39,19,25,7,4,0
BOtu0101,13,230,51,0,0,0,40,8,74,23,0,0
FOtu0196,24,49,240,0,4,4,17,17,17,35,16,12
FOtu0195,183,49,20,4,0,3,37,16,7,5,77,31
FOtu0138,0,10,30,0,0,0,0,0,0,390,0,0
FOtu0053,26,0,0,2,25,6,67,205,89,0,0,0
FOtu0078,0,21,64,0,5,0,16,34,7,272,0,0
FOtu0201,129,2,78,2,43,3,0,1,1,28,54,70
BOtu0006,78,0,0,0,3,114,0,0,33,0,45,134
FOtu0200,58,0,0,0,0,0,0,0,0,0,48,292
FOtu0203,0,25,0,0,0,371,0,0,0,0,2,0
FOtu0133,15,47,69,31,27,66,62,41,6,15,18,0
BOtu0096,15,2,0,0,0,3,17,13,318,1,13,0
FOtu0208,49,33,92,10,76,0,18,33,24,6,26,13
FOtu0212,61,0,0,0,0,0,0,0,2,0,8,309
FOtu0188,42,74,20,50,8,15,16,66,5,14,32,36
BOtu0066,0,48,126,156,2,2,14,13,8,7,0,0
FOtu0214,43,35,37,10,49,48,64,41,6,10,27,4
FOtu0215,66,2,13,10,86,17,42,40,34,10,33,20
BOtu0117,17,92,89,2,7,12,22,67,20,38,0,0
BOtu0110,0,208,12,62,13,0,5,33,28,2,0,0
FOtu0121,4,0,0,27,2,19,1,282,12,2,0,0
FOtu0227,26,133,13,0,0,6,0,15,0,147,3,5
AOtu0073,3,123,35,1,131,0,8,26,16,0,0,4
FOtu0011,37,1,3,43,20,58,1,17,6,0,120,40
BOtu0095,24,42,17,0,2,8,111,17,36,24,64,0
FOtu0231,119,69,0,35,21,32,3,1,27,0,22,12
FOtu0233,147,2,0,18,2,15,18,4,62,12,36,24
BOtu0109,0,107,36,19,9,0,30,0,135,2,0,0
AOtu0065,0,200,99,0,0,0,0,0,0,32,0,0
BOtu0120,4,92,83,11,0,0,13,21,35,25,8,36
FOtu0238,3,0,1,3,42,239,0,0,1,0,37,2
FOtu0234,13,50,12,0,22,63,5,30,3,23,32,71
FOtu0242,0,2,224,6,9,77,0,0,0,2,0,4
FOtu0247,0,2,318,0,0,0,0,0,0,0,0,0
FOtu0224,38,68,30,7,42,24,19,21,13,32,18,7
FOtu0207,128,38,16,0,1,22,9,3,9,19,69,4
FOtu0183,2,14,154,0,0,0,0,0,0,6,72,67
BOtu0086,4,82,36,0,0,2,62,2,107,16,3,0
FOtu0191,0,14,11,50,130,35,29,28,6,7,0,1
BOtu0081,13,163,18,8,5,5,33,40,11,6,8,0
BOtu0105,4,5,16,5,5,2,31,4,14,6,162,33
FOtu0258,23,115,91,0,0,15,2,2,2,21,7,3
BOtu0142,3,26,46,9,15,2,35,68,0,53,14,3
FOtu0256,2,19,4,0,0,0,0,0,0,246,1,1
BOtu0022,22,109,38,0,10,12,10,6,56,7,2,0
FOtu0240,16,39,25,86,1,4,18,37,2,5,27,10
AOtu0082,17,0,0,0,0,0,16,14,0,0,19,204
FOtu0262,1,11,27,4,20,9,10,5,15,166,1,1
FOtu0050,5,0,0,3,63,29,0,0,0,0,158,11
FOtu0156,134,2,0,18,20,10,14,7,1,3,36,20
FOtu0180,35,1,9,7,16,45,1,12,4,2,60,68
FOtu0268,116,5,1,0,39,0,0,13,3,21,42,19
FOtu0269,2,53,138,0,3,2,6,7,2,36,3,6
FOtu0039,4,0,0,6,0,9,21,157,54,0,3,1
BOtu0145,14,128,41,2,5,5,12,7,32,5,3,0
BOtu0147,52,67,48,2,2,2,6,24,11,39,1,0
FOtu0276,0,5,0,24,24,4,121,60,10,0,0,0
FOtu0264,15,61,45,10,3,5,22,6,0,57,4,19
FOtu0270,6,82,22,6,2,13,31,9,21,39,16,0
FOtu0252,31,57,83,0,6,0,4,21,6,32,6,0
BOtu0106,64,42,47,6,8,0,11,25,20,3,18,0
FOtu0266,44,8,3,14,53,29,11,18,15,15,16,18
FOtu0024,0,15,126,0,0,0,0,5,0,91,2,0
FOtu0285,19,33,49,8,9,10,18,37,7,21,12,13
FOtu0213,59,5,1,2,5,18,6,12,35,21,52,18
BOtu0149,16,40,92,19,3,7,31,9,0,9,6,0
BOtu0099,32,18,44,5,42,0,0,6,12,45,24,0
FOtu0286,1,16,48,2,0,0,41,79,35,4,0,0
BOtu0146,34,47,44,1,2,2,12,26,44,8,3,0
FOtu0277,2,25,23,19,17,3,60,49,22,2,1,0
FOtu0287,26,52,14,3,22,9,29,0,3,16,2,45
FOtu0274,62,0,0,0,0,0,0,0,0,0,112,46
BOtu0010,37,1,0,16,7,48,7,3,85,3,3,0
BOtu0156,6,43,30,1,2,4,11,10,17,79,3,0
AOtu0092,0,0,201,0,0,0,0,0,0,0,0,0
FOtu0048,0,0,0,0,0,1,0,198,1,0,0,0
FOtu0306,38,1,16,60,0,3,14,49,2,3,6,7
FOtu0307,0,146,3,0,0,0,2,0,0,46,0,0
FOtu0308,24,9,5,24,3,3,18,30,38,7,16,18
FOtu0223,0,9,3,3,99,2,69,5,0,2,2,0
FOtu0312,0,20,123,3,2,3,0,0,2,25,14,0
AOtu0093,122,8,2,1,19,4,14,6,3,7,4,1
BOtu0170,66,63,22,2,0,0,12,18,6,2,0,0
FOtu0313,10,49,56,5,10,11,2,10,2,27,8,0
FOtu0236,9,33,18,0,42,5,19,6,7,45,4,1
BOtu0154,4,54,6,1,4,3,2,88,11,14,2,0
AOtu0089,103,5,12,2,1,4,1,34,2,0,9,16
BOtu0138,12,0,10,0,8,2,14,23,85,26,0,0
FOtu0273,2,12,11,9,74,5,27,18,10,1,5,6
FOtu0328,5,120,5,0,12,5,6,9,3,7,6,1
AOtu0091,2,0,175,0,0,0,0,0,0,0,0,1
BOtu0174,9,60,85,1,0,0,2,1,15,5,0,0
BOtu0164,0,56,34,0,2,2,0,8,34,35,4,0
FOtu0332,0,11,16,18,4,1,52,51,19,1,2,0
BOtu0144,11,19,9,16,28,4,9,24,5,36,13,0
FOtu0333,5,0,151,14,1,2,0,0,0,0,0,0
FOtu0248,0,10,43,0,6,84,0,9,11,5,2,0
BOtu0127,16,24,24,9,14,3,13,22,4,21,17,1
FOtu0335,35,53,22,8,3,21,3,1,5,3,3,11
FOtu0334,22,1,0,17,37,21,18,8,8,6,14,15
FOtu0225,27,12,13,8,12,27,3,7,34,11,9,3
BOtu0053,6,0,3,1,0,3,39,0,1,3,68,41
FOtu0343,0,36,49,0,17,0,5,1,3,5,49,0
BOtu0071,13,4,6,0,0,2,13,7,88,1,29,0
FOtu0284,0,9,19,0,20,0,16,9,1,87,0,0
AOtu0086,0,0,0,0,0,0,0,147,13,1,0,0
FOtu0349,26,26,14,6,9,3,14,8,4,12,18,21
BOtu0177,0,20,59,11,28,2,0,25,3,6,6,0
FOtu0316,10,12,66,2,3,17,5,2,8,24,5,1
AOtu0102,1,1,112,0,7,11,1,7,13,2,0,0
FOtu0184,43,0,0,0,0,1,0,1,0,0,36,71
BOtu0180,14,43,42,0,1,2,13,27,0,10,0,0
FOtu0199,134,0,0,0,7,0,0,3,4,0,3,0
BOtu0158,0,13,10,33,20,4,0,8,2,49,11,0
BOtu0179,20,9,0,1,25,2,0,2,88,3,0,0
BOtu0188,0,86,27,5,0,0,10,15,0,6,0,0
BOtu0027,3,41,49,0,3,6,3,6,14,16,3,0
FOtu0178,0,19,14,11,7,5,16,58,7,3,2,1
FOtu0372,0,123,11,0,2,0,0,0,0,3,4,0
FOtu0373,0,82,9,0,30,2,8,1,0,10,0,1
AOtu0107,0,68,64,0,0,0,0,0,0,10,0,0
FOtu0342,36,6,8,2,7,2,11,2,10,9,19,28
FOtu0340,0,29,17,5,1,0,10,38,32,1,3,1
FOtu0318,4,15,0,8,1,4,15,51,6,7,11,14
BOtu0214,37,42,14,0,7,1,0,6,18,8,0,0
BOtu0219,16,21,57,0,0,7,0,4,18,2,7,0
BOtu0224,10,29,48,9,1,0,0,2,0,29,4,0
BOtu0171,0,5,8,1,17,0,0,1,0,64,31,2
BOtu0039,17,29,1,3,0,5,8,6,53,0,3,0
FOtu0209,0,4,102,9,0,0,4,2,0,4,0,0
FOtu0364,39,0,0,0,0,0,0,0,0,20,33,32
FOtu0400,8,10,68,0,0,0,3,1,0,31,2,1
BOtu0157,10,2,54,10,15,3,0,23,1,1,3,1
BOtu0165,0,41,22,0,3,0,6,29,8,14,0,0
AOtu0109,0,0,0,0,32,21,1,41,17,0,1,10
BOtu0232,0,56,37,1,4,0,6,10,0,7,0,0
FOtu0288,0,35,2,0,0,0,0,3,0,78,0,0
FOtu0376,31,17,14,1,0,0,0,8,8,13,26,0
BOtu0222,1,4,15,7,12,1,0,0,0,14,34,30
FOtu0381,0,2,23,0,0,0,12,79,1,1,0,0
BOtu0076,0,0,0,97,2,1,5,8,4,0,0,0
BOtu0211,5,46,18,0,0,22,17,4,5,0,0,0
BOtu0043,0,3,3,0,0,0,0,0,0,9,100,0
FOtu0315,1,31,26,0,1,8,7,4,5,24,2,3
BOtu0192,17,15,10,7,2,0,0,17,1,31,11,0
FOtu0301,12,11,4,0,4,9,11,4,26,10,7,12
FOtu0405,0,46,14,9,6,3,6,1,2,18,4,0
FOtu0434,2,31,10,1,33,2,5,8,1,14,2,0
AOtu0119,38,1,0,0,0,0,0,17,0,0,4,46
FOtu0444,3,15,11,1,27,5,11,6,2,16,7,1
FOtu0450,0,10,24,0,30,2,1,1,6,27,2,1
AOtu0103,6,9,2,1,3,1,0,12,0,0,46,22
BOtu0231,9,7,18,11,5,4,10,16,2,13,6,0
BOtu0208,4,17,0,14,21,5,5,17,1,10,6,0
FOtu0459,0,2,13,9,3,1,8,36,22,4,1,1